episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
63, -3546.609300494194, 2, 19.582691019000094, 368, 51985,                                             51985, 0.0, 3262.706787109375
64, -2769.777937889099, 2, 7.574629626999922, 144, 52129,                                             52129, 0.0, 4645.810546875
65, -3458.3953162431717, 2, 23.665771883999923, 407, 52536,                                             52536, 0.0, 4692.1220703125
66, -3045.3289790153503, 2, 11.1731731509999, 198, 52734,                                             52734, 0.0, 3883.817626953125
67, -3685.4240539073944, 2, 13.771459083999844, 319, 53053,                                             53053, 0.0, 3712.227783203125
68, -5033.905725002289, 2, 12.966903480999918, 501, 53554,                                             53554, 0.0, 4542.11962890625
69, -3593.132977247238, 2, 7.728759308000008, 303, 53857,                                             53857, 0.0, 4450.28271484375
70, -7252.918750047684, 2, 16.775251658999878, 683, 54540,                                             54540, 0.0, 5079.08447265625
71, -3063.881729185581, 2, 6.912901840000131, 292, 54832,                                             54832, 0.0, 4698.572265625
72, -4065.221393108368, 3, 9.962800532000074, 423, 55255,                                             55255, 0.0, 4080.8935546875
73, -3279.1782572865486, 3, 9.961123835999842, 402, 55657,                                             55657, 0.0, 4453.349609375
74, -3291.2316336631775, 2, 6.339619004000042, 251, 55908,                                             55908, 0.0, 3939.77685546875
75, -5033.156959295273, 2, 13.946693548999974, 543, 56451,                                             56451, 0.0, 4091.545166015625
76, -6637.671046733856, 2, 18.607971084999917, 745, 57196,                                             57196, 0.0, 4246.5546875
77, -3370.51598238945, 2, 9.12228086999994, 356, 57552,                                             57552, 0.0, 4893.09814453125
78, -3960.1570971012115, 2, 14.786526012999957, 593, 58145,                                             58145, 0.0, 4860.00537109375
79, -4135.3760586977005, 2, 11.15094775800003, 428, 58573,                                             58573, 0.0, 4470.18017578125
80, -3614.935163259506, 2, 8.146558216999892, 318, 58891,                                             58891, 0.0, 5582.2197265625
81, -4045.1121258735657, 2, 8.34837726600017, 354, 59245,                                             59245, 0.0, 4427.77490234375
82, -5129.029490053654, 2, 17.780169430000115, 761, 60006,                                             60006, 0.0, 5117.35400390625
83, -3593.950344800949, 2, 10.76874035999981, 469, 60475,                                             60475, 0.0, 4833.7333984375
84, -6381.300591468811, 2, 19.196832545000007, 827, 61302,                                             61302, 0.0, 3863.78662109375
85, -5979.469930410385, 2, 14.983848004000038, 640, 61942,                                             61942, 0.0, 4147.08056640625
86, -6294.46632194519, 2, 10.337212479999835, 431, 62373,                                             62373, 0.0, 3964.630615234375
87, -6005.49311041832, 2, 22.208117109000113, 953, 63326,                                             63326, 0.0, 4473.19482421875
88, -5170.389431297779, 2, 15.984314995999966, 690, 64016,                                             64016, 0.0, 4642.8408203125
89, -4363.254033744335, 2, 12.560421616999975, 538, 64554,                                             64554, 0.0, 4221.98876953125
90, -3431.7719044685364, 2, 8.750863190000018, 367, 64921,                                             64921, 0.0, 5620.8359375
91, -5248.7881153821945, 2, 20.799609288000056, 860, 65781,                                             65781, 0.0, 4530.37744140625
92, -4226.307072877884, 3, 10.557758180000064, 455, 66236,                                             66236, 0.0, 4235.31201171875
93, -3350.7944699525833, 2, 8.55142294899997, 358, 66594,                                             66594, 0.0, 3806.886962890625
94, -3060.371804833412, 2, 5.541209383000023, 234, 66828,                                             66828, 0.0, 3579.8662109375
95, -4276.695071220398, 3, 10.163066858000093, 425, 67253,                                             67253, 0.0, 3609.13330078125
96, -2986.5237932801247, 2, 6.522044164000135, 259, 67512,                                             67512, 0.0, 4572.36376953125
97, -3229.42320728302, 2, 5.541753604000178, 239, 67751,                                             67751, 0.0, 4606.3193359375
98, -4332.865278244019, 2, 8.932409714999949, 355, 68106,                                             68106, 0.0, 4911.55029296875
99, -3664.5163655281067, 2, 7.5522645440000815, 310, 68416,                                             68416, 0.0, 4029.507568359375
100, -5775.117620944977, 2, 15.590994336999984, 677, 69093,                                             69093, 0.0, 3940.002685546875
101, -3884.7853469848633, 2, 8.26446778699983, 351, 69444,                                             69444, 0.0, 4245.78466796875
102, -4258.515140533447, 2, 8.93493969300016, 370, 69814,                                             69814, 0.0, 3244.4619140625
103, -4403.003903269768, 2, 13.365674575999947, 581, 70395,                                             70395, 0.0, 3539.0703125
104, -7930.840083599091, 2, 28.0263322400001, 1217, 71612,                                             71612, 0.0, 4085.39599609375
105, 2172.8319666981697, 1, 5.123100126999816, 214, 71826,                                             71826, 0.0, 4593.66748046875
106, -3245.877314567566, 2, 3.534137420999741, 146, 71972,                                             71972, 0.0, 2659.8671875
107, -3743.1486479640007, 2, 9.758019420999972, 415, 72387,                                             72387, 0.0, 3996.234619140625
108, -4495.141339063644, 2, 9.936132224000175, 422, 72809,                                             72809, 0.0, 4464.36181640625
109, -4327.685035705566, 2, 8.56232028300019, 373, 73182,                                             73182, 0.0, 3800.64111328125
110, -3199.539330601692, 2, 5.946005756999966, 256, 73438,                                             73438, 0.0, 3916.7724609375
111, -3121.9441521167755, 2, 7.545969683999829, 325, 73763,                                             73763, 0.0, 3634.57958984375
112, -4917.759649515152, 3, 10.961471978999725, 476, 74239,                                             74239, 0.0, 5188.83935546875
113, -4415.509595990181, 2, 13.768599109999741, 592, 74831,                                             74831, 0.0, 3990.64111328125
114, -3083.588314294815, 2, 7.730589624999993, 321, 75152,                                             75152, 0.0, 4092.167724609375
115, -3992.4695715904236, 3, 10.154027221000433, 444, 75596,                                             75596, 0.0, 3211.45263671875
116, -11598.953004598618, 2, 45.4883492189997, 1940, 77536,                                             77536, 0.0, 4009.62939453125
117, -4134.341686844826, 2, 14.374510798999836, 613, 78149,                                             78149, 0.0, 2915.076904296875
118, -4987.190147161484, 2, 14.187089917999856, 612, 78761,                                             78761, 0.0, 4318.41015625
119, -6770.704716265202, 2, 30.841560410000056, 1319, 80080,                                             80080, 0.0, 3864.96142578125
120, -3340.69644010067, 2, 6.154190420000305, 270, 80350,                                             80350, 0.0, 3475.135009765625
121, -3790.582202911377, 2, 9.32981899699962, 391, 80741,                                             80741, 0.0, 4624.44677734375
122, -11732.638758301735, 2, 54.94407340099997, 2346, 83087,                                             83087, 0.0, 4111.12255859375
123, -3736.1326261758804, 2, 10.756474279000031, 460, 83547,                                             83547, 0.0, 3312.55224609375
124, -5767.440292358398, 3, 23.81908254000018, 1023, 84570,                                             84570, 0.0, 3842.9833984375
125, -3146.9901552200317, 2, 5.940514388999873, 248, 84818,                                             84818, 0.0, 3368.009033203125
126, -4187.239499330521, 2, 9.154356676000134, 387, 85205,                                             85205, 0.0, 3880.45166015625
127, -7502.639095544815, 2, 32.45212622100007, 1404, 86609,                                             86609, 0.0, 3266.044921875
128, -9389.062927782536, 2, 28.839234871999906, 1235, 87844,                                             87844, 0.0, 3037.704833984375
129, -4641.395451545715, 3, 10.957589372999792, 465, 88309,                                             88309, 0.0, 2917.47265625
130, -4151.06472837925, 2, 11.570470770000156, 491, 88800,                                             88800, 0.0, 3049.87890625
131, -3924.809713602066, 3, 10.332600157999877, 439, 89239,                                             89239, 0.0, 3543.0947265625
132, -4794.100829839706, 2, 16.580847257000187, 712, 89951,                                             89951, 0.0, 3277.54248046875
133, -4148.335737943649, 2, 17.3830025809998, 742, 90693,                                             90693, 0.0, 3422.218017578125
134, -3286.1763727664948, 2, 5.743074060999788, 241, 90934,                                             90934, 0.0, 3121.58984375
135, -3839.1398236751556, 2, 9.140127479000057, 381, 91315,                                             91315, 0.0, 3097.73876953125
136, -5534.80175113678, 2, 13.97811719099991, 597, 91912,                                             91912, 0.0, 3232.255859375
137, 2281.5084267258644, 1, 4.3403368539998155, 184, 92096,                                             92096, 0.0, 3428.9150390625
138, -6660.055135130882, 2, 19.599557296000057, 831, 92927,                                             92927, 0.0, 3299.648681640625
139, -3365.028868854046, 2, 7.352394063999782, 313, 93240,                                             93240, 0.0, 3099.480224609375
140, -7014.600921392441, 2, 30.051995313000134, 1271, 94511,                                             94511, 0.0, 3203.88134765625
141, -4695.48331785202, 2, 12.568914270000278, 531, 95042,                                             95042, 0.0, 3181.24755859375
142, -6488.381592869759, 3, 25.202552365999964, 1071, 96113,                                             96113, 0.0, 3206.5029296875
143, -4617.4258852005005, 2, 8.556903088000126, 371, 96484,                                             96484, 0.0, 2596.060546875
144, -4091.420341491699, 2, 8.354391842000041, 347, 96831,                                             96831, 0.0, 3405.850830078125
145, -5654.833885550499, 2, 13.166059710000354, 566, 97397,                                             97397, 0.0, 3248.344482421875
146, -5015.964931964874, 2, 19.786235861000023, 835, 98232,                                             98232, 0.0, 3348.5361328125
147, -3855.8499809503555, 2, 7.935534807000295, 330, 98562,                                             98562, 0.0, 2896.861572265625
148, -5174.768385887146, 2, 10.171560408999994, 435, 98997,                                             98997, 0.0, 3203.057373046875
149, -5989.45759510994, 2, 10.763631473999794, 459, 99456,                                             99456, 0.0, 3295.751953125
150, -6511.710133075714, 2, 19.781536424000024, 837, 100293,                                             100293, 0.0, 2893.767333984375
151, -3521.569682061672, 3, 10.757145421999667, 444, 100737,                                             100737, 0.0, 3498.23095703125
152, -5238.122656345367, 2, 13.569684065000274, 573, 101310,                                             101310, 0.0, 3269.163818359375
153, -10057.569916307926, 2, 29.825659883999833, 1266, 102576,                                             102576, 0.0, 3111.92822265625
154, -5869.537140130997, 2, 14.591280852000182, 617, 103193,                                             103193, 0.0, 2640.678955078125
155, -9307.77456009388, 2, 24.634419140999853, 1059, 104252,                                             104252, 0.0, 2889.290283203125
156, -6277.140465736389, 2, 15.773864305000188, 669, 104921,                                             104921, 0.0, 2830.0009765625
157, -6092.275232553482, 2, 15.190634971000236, 648, 105569,                                             105569, 0.0, 2890.17578125
158, -3228.123939037323, 2, 8.161373335000008, 346, 105915,                                             105915, 0.0, 2845.0263671875
159, -7862.222690343857, 2, 15.988394537000204, 684, 106599,                                             106599, 0.0, 3073.760498046875
160, -4961.041345477104, 2, 14.967372835999868, 626, 107225,                                             107225, 0.0, 2946.59814453125
161, -5870.7971312999725, 2, 15.966041919999952, 674, 107899,                                             107899, 0.0, 3053.48193359375
162, -4942.946512043476, 2, 20.619329318999917, 879, 108778,                                             108778, 0.0, 2900.4580078125
163, -4442.896605014801, 2, 10.373808626000027, 435, 109213,                                             109213, 0.0, 2801.206787109375
164, -4197.659416973591, 2, 14.388860242999726, 605, 109818,                                             109818, 0.0, 2679.30517578125
165, 2105.211091041565, 1, 5.5246846360000745, 220, 110038,                                             110038, 0.0, 2012.3253173828125
166, -3364.1041824817657, 2, 3.1301547729999584, 125, 110163,                                             110163, 0.0, 3993.029541015625
167, -7539.727830171585, 2, 24.835070935999738, 1051, 111214,                                             111214, 0.0, 3251.041748046875
168, -3423.4135781526566, 2, 7.55313089099991, 313, 111527,                                             111527, 0.0, 3444.16162109375
169, -5970.6439480781555, 3, 11.766922822999732, 501, 112028,                                             112028, 0.0, 2386.5166015625
170, -4137.603986740112, 2, 7.135480124999958, 287, 112315,                                             112315, 0.0, 2822.082763671875
171, -4594.10217833519, 3, 10.549413272000038, 445, 112760,                                             112760, 0.0, 2795.0751953125
172, -5102.748588323593, 2, 8.535908098000164, 351, 113111,                                             113111, 0.0, 2773.875244140625
173, -5706.843162059784, 2, 15.797047995999947, 666, 113777,                                             113777, 0.0, 2756.001220703125
174, -8437.10931277275, 2, 24.044109124000443, 1009, 114786,                                             114786, 0.0, 3052.942626953125
175, -3550.3860877156258, 2, 8.76326928599974, 371, 115157,                                             115157, 0.0, 3110.499267578125
176, -5022.7918437719345, 2, 13.96963088199982, 587, 115744,                                             115744, 0.0, 2542.070556640625
